tweetid,user,data_lemmatized,date,lang,sentiment
1.42537E+17,ccifuentes,Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE,2011-12-02T10:32:51,es,-1
1.4254E+17,anabelenroy_tve,Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad,2011-12-02T10:44:38,es,-1
1.42545E+17,jesusmarana,"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by",2011-12-02T11:06:35,es,1
1.42546E+17,ristomejide,"#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.",2011-12-02T11:08:51,es,-1
1.42549E+17,estherpalomera,"Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria",2011-12-02T11:20:19,es,1
1.42553E+17,zoidoalcalde,Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy,2011-12-02T11:36:41,es,1
1.42557E+17,RV1805,#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!,2011-12-02T11:52:50,es,1
1.4257E+17,javiersolana,3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.,2011-12-02T12:45:09,es,1
1.42574E+17,mdcospedal,Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.,2011-12-02T13:01:33,es,-1
1.42574E+17,DavilaGaceta,Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV,2011-12-02T13:01:38,es,-1
1.4258E+17,julia_otero,No se ha aprobado la ley Sinde,2011-12-02T13:23:09,es,-1
1.4258E+17,lazaroelmundo,se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.,2011-12-02T13:23:21,es,0
1.4258E+17,aarbeloa17,"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6",2011-12-02T13:24:25,es,1
1.4258E+17,Juandecolmenero,"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto""",2011-12-02T13:24:26,es,-1
1.42583E+17,EsperanzAguirre,Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.,2011-12-02T13:36:20,es,-1
1.42593E+17,mariviromero,#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano,2011-12-02T14:17:10,es,1
1.42594E+17,marodriguezb,"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!",2011-12-02T14:19:39,es,-1
1.42599E+17,GLlamazares,"El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria",2011-12-02T14:39:10,es,0
1.42607E+17,mariviromero,Me encanta ver por aqui  a @TuDNIe ;-)),2011-12-02T15:10:47,es,1
1.42609E+17,juanes,si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b,2011-12-02T15:19:48,es,1
1.42624E+17,maria_rey,“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!,2011-12-02T16:20:37,es,1
1.42637E+17,garcia_abadillo,El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él,2011-12-02T17:13:20,es,-1
1.4266E+17,mariviromero,El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG,2011-12-02T18:43:09,es,1
1.42677E+17,LosadaPescador,"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30",2011-12-02T19:49:53,es,-1
1.42681E+17,EvaORegan,Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.,2011-12-02T20:06:51,es,-1
1.42687E+17,sanchezcastejon,"Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya",2011-12-02T20:31:43,es,-1
1.42688E+17,AlejandroSanz,RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv,2011-12-02T20:34:12,es,1
1.42691E+17,EvaORegan,¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!,2011-12-02T20:44:41,es,-1
1.42691E+17,AlejandroSanz,El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32,2011-12-02T20:47:51,es,1
1.42693E+17,sanchezcastejon,Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor,2011-12-02T20:52:06,es,-1
1.42697E+17,pedroj_ramirez,"Así me gusta, Mónica “@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”",2011-12-02T21:09:47,es,1
1.42699E+17,GFVara,Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.,2011-12-02T21:17:08,es,1
1.427E+17,GFVara,"Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.",2011-12-02T21:22:22,es,-1
1.42701E+17,sanchezcastejon,@GFVara la ley del embudo...característica de la derecha española. Animo,2011-12-02T21:25:41,es,-1
1.42713E+17,AlejandroSanz,"Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus",2011-12-02T22:11:34,es,1
1.42716E+17,nachodoral,"España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR",2011-12-02T22:25:50,es,1
1.42719E+17,marodriguezb,Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!,2011-12-02T22:35:53,es,1
1.42737E+17,Carlos_Latre,@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;),2011-12-02T23:50:25,es,1
1.42739E+17,AlejandroSanz,"Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5",2011-12-02T23:57:59,es,1
1.42746E+17,carmenmorodo,"Adiós al día en el q casi ha culminado el ""destape"" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo",2011-12-03T00:24:56,es,-1
1.4276E+17,SSantiagosegura,"""La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad""W.H. Patrick",2011-12-03T01:21:50,es,1
1.42862E+17,Ignacos,Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.,2011-12-03T08:05:49,es,-1
1.42887E+17,sevillajordi,"A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!",2011-12-03T09:44:48,es,1
1.42889E+17,Fgarea,Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw,2011-12-03T09:52:49,es,-1
1.42896E+17,sanchezcastejon,"Buenos dias, que buenos eran/siguen siendo Talking Heads...",2011-12-03T10:20:42,es,1
1.42907E+17,Carlos_Latre,@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii,2011-12-03T11:02:21,es,1
1.42912E+17,javiersolana,Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.,2011-12-03T11:25:03,es,-1
1.42927E+17,anabelenroy_tve,Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ,2011-12-03T12:22:13,es,1
1.42929E+17,aarbeloa17,Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;),2011-12-03T12:31:00,es,1
1.42934E+17,cucagamarra,"En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl",2011-12-03T12:49:40,es,1
1.42935E+17,mariviromero,Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl,2011-12-03T12:57:04,es,-1
1.42936E+17,mariviromero,Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k,2011-12-03T13:01:12,es,1
1.42937E+17,cesc4official,Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!,2011-12-03T13:04:29,es,-1
1.42938E+17,Buenafuente,Que corra el Dewars!!!“@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi”,2011-12-03T13:08:21,es,1
1.42939E+17,mariviromero,Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO,2011-12-03T13:09:36,es,1
1.42939E+17,Buenafuente,Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???”,2011-12-03T13:11:00,es,-1
1.4294E+17,Amartinbeaumont,"Mi artículo en ESD: ""La testarudez del consejero de Salud riojano pone a Sanz en la picota""  http://t.co/M9poedN7",2011-12-03T13:15:54,es,-1
1.42947E+17,mariviromero,"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs",2011-12-03T13:43:57,es,-1
1.42958E+17,alferma1,"Con Fina, mi mujer, amigos y el reparto de ""Iceberg"", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr",2011-12-03T14:26:32,es,1
1.42966E+17,mariviromero,". @diario_sur así esta la zona de ""recreo"" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA",2011-12-03T14:59:31,es,-1
1.42967E+17,GLlamazares,Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.,2011-12-03T15:03:35,es,-1
1.42998E+17,javiersolana,Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.,2011-12-03T17:03:59,es,-1
1.43003E+17,Albert_Rivera,RT@FranHervias:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos http://t.co/fG5cVwM9,2011-12-03T17:24:32,es,0
1.43011E+17,Carlos_Latre,GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;),2011-12-03T17:58:24,es,1
1.43017E+17,PabloAIglesias,Ojala en España fuera igual RT @cdperiodismo: En Brasil se necesitará diploma para ejercer el periodismo http://t.co/SroI6DhX,2011-12-03T18:19:34,es,0
1.43028E+17,mariviromero,"Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound http://t.co/u0CAbR3X",2011-12-03T19:04:59,es,1
1.43057E+17,Cepeda,Ataque de inyección SQL masivo http://t.co/q4usPkRL,2011-12-03T21:00:02,es,-1
1.4307E+17,mariviromero,Mira @sblanco nuestro árbol ;-)) http://t.co/gjBkxMpv,2011-12-03T21:52:14,es,1
1.43108E+17,Buenafuente,"Je,je!!! Eso es bueno @mkreyes80: @Buenafuente me has hecho llorar... De risa!”",2011-12-04T00:24:36,es,1
1.4314E+17,AlejandroSanz,RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!,2011-12-04T02:31:21,es,1
1.43152E+17,AlexdelaIglesia,"Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.",2011-12-04T03:18:42,es,1
1.43166E+17,paurubio,RT @Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!,2011-12-04T04:12:34,es,1
1.4324E+17,sevillajordi,Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?,2011-12-04T09:06:11,es,-1
1.43249E+17,mariviromero,"Buenos dias y mil gracias RT @pvcmalaga: Buen día @mariviromero,mi concejala favorita.",2011-12-04T09:41:21,es,1
1.43256E+17,mariviromero,. @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us,2011-12-04T10:11:21,es,-1
1.43271E+17,carlosecue,Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais,2011-12-04T11:08:58,es,-1
1.43282E+17,javiercasqueiro,".@sgueina: ""¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL”¿Sólo ha leído dos libros?"" Era una metáfora.",2011-12-04T11:53:57,es,-1
1.43289E+17,javiercasqueiro,".@rutenca .@sgueina ""el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..”Viva la ironía",2011-12-04T12:20:19,es,0
1.43302E+17,mariviromero,;-)) RT @cacmalaga: http://t.co/AFmBIYxK @cacmalaga #arte #cultura #pintura #museo #museums,2011-12-04T13:15:06,es,1
1.43304E+17,DavilaGaceta,Rajoy quiere que España vuelva a tener relevancia en Europa http://t.co/RGhPlkBR,2011-12-04T13:20:12,es,1
1.43304E+17,EvaORegan,"Políticos q no responden. ""En ningún país dl mundo homologable al nstro se tolera semejante práctica"" http://t.co/7hoIl9HR via @antonlosada",2011-12-04T13:20:47,es,-1
1.43307E+17,EvaORegan,"@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.",2011-12-04T13:34:13,es,-1
1.4331E+17,SergioRamos,"No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (@carlos_muela ). http://t.co/l28AOIdR",2011-12-04T13:44:34,es,1
1.43311E+17,zoidoalcalde,Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis,2011-12-04T13:51:32,es,1
1.43315E+17,Edurnity,Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche....,2011-12-04T14:04:01,es,0
1.43318E+17,mariviromero,"'Chico & Rita', premio europeo a la mejor cinta de animación http://t.co/FF7giIse",2011-12-04T14:16:15,es,1
1.43325E+17,carlosdavidgf,Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO,2011-12-04T14:43:33,es,1
1.43343E+17,nachodoral,"Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole @RafaelNadal!!",2011-12-04T15:55:05,es,1
1.43345E+17,pedroj_ramirez,"Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre http://t.co/RYYX6ksH",2011-12-04T16:06:18,es,0
1.43346E+17,PilarGGranja,"Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...",2011-12-04T16:09:40,es,1
1.43353E+17,pedroj_ramirez,Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa.,2011-12-04T16:37:33,es,0
1.43354E+17,Edurnity,“@BeaGarciaCHV: @Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos???”te doy mi carta y se la das??jajja bss!,2011-12-04T16:42:01,es,1
1.43355E+17,Edurnity,"“@marinitaMF: @Edurnity Ojo, que yo me apellido ""Molas"", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja",2011-12-04T16:42:40,es,1
1.43355E+17,matrujil,Viaje a las embajadas catalanas del derroche - ABC.es http://t.co/sD2LV37R via @abc_es,2011-12-04T16:43:22,es,-1
1.43356E+17,marodriguezb,"Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa",2011-12-04T16:49:15,es,1
1.43358E+17,Edurnity,“@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja,2011-12-04T16:56:44,es,1
1.43358E+17,anabelenroy_tve,Amonestado el público argentino en La Cartuja!!!,2011-12-04T16:58:12,es,-1
1.43365E+17,JuanraLucas,... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!,2011-12-04T17:23:20,es,1
1.43365E+17,anabelenroy_tve,"La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe",2011-12-04T17:23:30,es,1
1.43365E+17,alferma1,Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.,2011-12-04T17:23:50,es,1
1.43365E+17,lazaroelmundo,"que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!",2011-12-04T17:24:30,es,1
1.43371E+17,Buenafuente,Grandioso Rafa Nadal!!!!!,2011-12-04T17:46:41,es,1
1.43375E+17,alferma1,"El público que cante gritando sin parar: ""por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..."" ¡Gracias por ser ESPAÑOL!",2011-12-04T18:03:34,es,1
1.43384E+17,garcia_abadillo,El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista.,2011-12-04T18:41:20,es,0
1.4339E+17,_Rubalcaba_,"Felicidades a @RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb",2011-12-04T19:05:17,es,1
1.43414E+17,pedroj_ramirez,"Fantásticas, a cual mejor “@MarisolCovelo. qué os parece mi foto de #elprimernaufragio ?http://t.co/ZjCzROgC http://t.co/CH3jjGX1”",2011-12-04T20:40:34,es,1
1.43419E+17,ccifuentes,Fin a la impunidad en #Internet http://t.co/j7WaLdS3,2011-12-04T21:00:19,es,1
1.43438E+17,germanyanke,A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.,2011-12-04T22:15:35,es,-1
1.43452E+17,iescolar,En el blog: Lágrimas tecnócratas http://t.co/Y7K9awBr,2011-12-04T23:11:40,es,-1
1.43458E+17,alfonsomerlos,"""Los ministros d @marianorajoy : fin de la ineptocracia"" @Semanaldigital @PPopular http://t.co/PrsX6XAN",2011-12-04T23:34:24,es,-1
1.43461E+17,iescolar,"Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos http://t.co/BP1Bfcl6",2011-12-04T23:46:09,es,-1
1.43569E+17,Carlos_Latre,A por @crackoviadeTV3 !!;)) buenos días queridos twiteros!!;)),2011-12-05T06:56:33,es,1
1.43581E+17,enrique305,Gracias Venezuela!!! http://t.co/UdCRaDkY,2011-12-05T07:40:54,es,1
1.43583E+17,pedroj_ramirez,"Bdías, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.",2011-12-05T07:49:02,es,1
1.43585E+17,ccifuentes,"¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el ""puente"", mientras en España hay 5 millones de parados?",2011-12-05T08:00:10,es,-1
1.43592E+17,Albert_Rivera,"Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir #fueradelaley",2011-12-05T08:25:05,es,-1
1.43618E+17,Tonicanto1,"Sobre ""accidentes""... RT @santigonzalez10 Él había llegado antes http://t.co/yQjNqebS",2011-12-05T10:09:32,es,-1
1.43643E+17,mariviromero,Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad http://t.co/Se4fAB9z,2011-12-05T11:50:49,es,1
1.43645E+17,anabelenroy_tve,"El gobierno chino cree que el país ""no está preparado"" para protestas sociales - http://t.co/tyMt3Omq",2011-12-05T11:57:33,es,-1
1.43689E+17,Joss682008,UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.,2011-12-05T14:53:16,es,-1
1.43696E+17,alfonsomerlos,Hoy abordaremos en @13tv_aldia @13television la gestión privada de los hospitales públicos. ¿qué ganamos los ciudadanos? ¿qué perdemos?,2011-12-05T15:21:03,es,0
1.43711E+17,iescolar,"Y mientras tanto, el verdadero problema se agrava año tras año http://t.co/J4stXBl8",2011-12-05T16:18:00,es,-1
1.43712E+17,mjguemes,El sector del lujo cierra el ejercicio con un 25% más de beneficios. ¿Quién sufre la crisis? Pues eso...,2011-12-05T16:24:22,es,0
1.43714E+17,estherpalomera,Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!!!!,2011-12-05T16:30:19,es,1
1.43717E+17,periodistas21,Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via @Clarin_com http://t.co/vgpQHJvs,2011-12-05T16:42:32,es,1
1.43727E+17,antoniosanz,El @ppandaluz no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación http://t.co/tAgF97e6  @europapress_es,2011-12-05T17:24:06,es,-1
1.43732E+17,PauladeLasHeras,"Sí, raritos q somos...  ""Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."" http://t.co/69OM6a3R",2011-12-05T17:42:33,es,-1
1.43738E+17,paurubio,"RT @PerezHilton @paurubio Que triste es esto, Pau! http://t.co/ZKF4LZOH @JonahMowryReal &lt;3! http://t.co/HBdZNwj5",2011-12-05T18:04:36,es,-1
1.43742E+17,Tonicanto1,"Joooooo :-) RT @xaviconde Me dice @Tonicanto1, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a @Padrinomc.",2011-12-05T18:20:28,es,1
1.4376E+17,EvaORegan,Entiendo que CNN conecte por Skype con disidentes en Siria pero que la mayoría de las conexiones ya sean por cámara de móvil ...,2011-12-05T19:33:50,es,0
1.43764E+17,RodrigoBlazquez,Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI. http://t.co/kkOrMmiw V @plazaro67,2011-12-05T19:50:58,es,-1
1.43783E+17,JAMonago,"Toda suya “@juliosandreu: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde.”",2011-12-05T21:05:37,es,1
1.43799E+17,JuanraLucas,Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no,2011-12-05T22:07:19,es,1
1.438E+17,mariviromero,;-)))) RT @CarlosSerrato82: #FW para @mariviromero y mucha suerte con tu primera entrevista aquí. El hastag es #YNTERVIUMarivi,2011-12-05T22:14:34,es,1
1.43802E+17,PilarGGranja,"""España gasta mas en sanidad que tofo el presupuesto en sanidad"" Núñez Feijoo en @Gato_directo",2011-12-05T22:19:13,es,-1
1.43802E+17,mariviromero,A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag #YnterviuMarivi l http://t.co/FVXISuNy,2011-12-05T22:20:40,es,1
1.43808E+17,AlejandroSanz,Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.,2011-12-05T22:46:03,es,1
1.4381E+17,mariviromero,Gracias RT @Pepemaras: #YNTERVIUMARIVI Interesante la entrevista de @mariviromero Nuevas herramientas: nuevas formas de comunicar,2011-12-05T22:52:41,es,1
1.43814E+17,mariviromero,Gracias a ti Paco RT @pacorengel: #YNTERVIUMARIVI @mariviromero Muchísimas gracias. Un beso. La cuelgo en un ratito en http://t.co/yK7PeIva,2011-12-05T23:09:12,es,1
1.43815E+17,byuste,"Aunque en menor medida, también lo son muchas que no son madres ;) @ejoana: Supermujeres. Gran post de @virginiapalonso http://t.co/SUTdmagF",2011-12-05T23:14:03,es,1
1.43818E+17,carmenmorodo,Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España,2011-12-05T23:25:13,es,-1
1.43823E+17,SalomeGa,"Impresionante! Enhorabuena a @enpiedeguerra y un beso a @chiquiesteban : Percebeiros, de David Beriain, a por el Goya! http://t.co/cP7Ae8Sn",2011-12-05T23:43:38,es,1
1.43838E+17,AlexdelaIglesia,"Sorgiñas, culebras. Cabrones negros de barba larga.",2011-12-06T00:43:27,es,-1
1.43846E+17,alfonsomerlos,"... enough today... la semana es larga, y seguramente más apasionante de lo recomendable.....",2011-12-06T01:15:50,es,1
1.43848E+17,RV1805,Me voy a leer un rato 'Un día más con vida' de Ryszard #Kapuscinscki. Gran descubrimiento del reportero polaco. ;) http://t.co/cnha2Jy6,2011-12-06T01:24:51,es,1
