data_lemmatized,sentiment
atacar inyeccin sql masivo,-1
mirar rbol,1
jeje bueno hacer llorar risa,1
rt ir chileno ultimar esforzar banco quedo lograr teleton necesitar,1
qu dormir ir intentar deber ser tan difcil,1
rt ver pau cunto x jeep terreno maestro ja ja ja bueno,1
qu medio comunicacin llenar anuncio oficial haba q recortar gastar publicar denunciar,-1
bueno dias mil gracia rt bueno dar concejal favorito,1
criticar pedir reunin negar alcalde,-1
krugman austeridad est matar euro via,-1
quin tapar psoe respuesta est blog ledo do libro metfora,-1
tapar leido milisegundo licenciar historia contemporanea master integracin europeaviva irona,0
rt,1
rajoy querer espaa volver tener relevancia europa,1
polticos q responder ningn pas decilitro mundo homologable nstro tolerar semejante prctica via,-1
obviamente contar declaración q permitir preguntar,-1
podar faltar dominguito tierra final davis cuao,1
palmar sevillano animar rafa,1
recin llegar madridpor fin casitaa frono querer imaginar har serrar mas noche,0
chico rita premiar europeo mejor cintar animacin,1
ir equipar ir nadal todo espaa manir mejor contigo ir ser campeón tambin elorrio,1
passing escalofriante linear poner nadal tercerola ensaladera mas cercar ole,1
bueno artculo ld arrimar hombro asociacin ayudar vctimas metro bordar cerrar,0
decir q rey cartujo hoy dia q tve tendra q sacarle ratohacer patrio sera imparcialidad,1
menudo break blanco lograr delpotro ir sufrir final hinchar argentino descentrar rafa,0
segundar apellidar camello tendr ver rey magoste dar carta dasjajja bss,1
ojo apellidar mola tal bromaen seriar mola jajjaja,1
viajar embajada catalán derrochar abces via,-1
set est ganar pblico argentino potro haba tirar toalla comenzar cantar ir ganar rafa poder,1
creer poner responder tweets apellido iphone jaajjajajja,1
amonestar pblico argentino cartujo,-1
rafa saludar equipar argentino qu tallar campar,1
quinto ensaladera nadal saludar equipar argentino ahora pblico oe oe oe,1
aqu lleg fin quinto ensaladera gracia miembro equipar hoy mucho gente dormir feliz,1
grande abrazar nadal equipar argentino impresionante saber ganar campar,1
grandioso rafa nadal,1
pblico cantar gritar parar querer dar rafa corazn seguir todo partir gracia ser espaol,1
partir putinmedveded rusia unir ganar comicio sufrir fuerte caa segundar partir milisegundo votar partir comunista,0
felicidad equipar espaol copar davis ejemplo esforzar ilusin superacin rbcb,1
fantsticas mejor qu parecer foto,1
fin impunidad,1
parecer dignar ministro italiano trabajar llorar parecan risa berlusconi,-1
blog lgrimas tecncratas,-1
ministro d fin ineptocracia,-1
portar pblico maana urdangarin sa dentro listo entidad pagar,-1
bueno dar querido twiteros,1
gracia venezuela,1
bdas elisabeth orgulloso em localizar remoto lugar rumania testigo acudi juicio,1
cmo explicar mil espaoles ausentar masa trabajar puente mientras espaa millón parar,-1
mas presidente autonmico autogobierno gracia constitucinpero cumplir hacer cumplir,-1
accidente rt litro haba llegar,-1
dani garca recoger librar tapar acercar cocinar sociedad,1
gobernar chino creer pas est preparar protestar social,-1
upyd amaiur recurriran justicia si lograr grupo justicia decir poder mesar congreso casar similar,-1
hoy abordar gestin privar hospital pblicos qu ganar ciudadano qu perder,0
mientras verdadero problema agravar ao tras ao,-1
sector lujo cerrar ejercicio milisegundo beneficio quin sufrir crisis pues,0
bonito desplegar seguridad alfonso xii contravigilancia todo manzana nadie gobernar,1
desafos periodismo encontrar sitiar perder vigilancia poder via,1
aceptar caramelo presidencia do aos famp si refundacin,-1
segundo raritos q si espaa tratar elegir aos caos miseria,-1
rt triste pau lt,-1
joo rt decir querer rapear estrofa villancico sentir toni aqu,1
entender cnn conectar skype disidente sirio mayora conexionar cmara mvil,0
detener do sospechoso secuestrar cooperante espaoles tinduf intentar venderlos aqmi v,-1
todo segundo sr grabar saludar lado jeje espaa bueno tardar,1
entender unfollow aceptar desconcertar reconocer error creer lugar anunciar venganza radiofnica,1
rt mucho suerte primero entrevistar aqu hastag,1
espaa gastar mas sanidad tofo presupuestar sanidad nez feijoo,-1
primero entrevistar directo twitter si querer seguirla buscar hastag litro,1
feliz dia voluntario hroes annimos sacrificia eleccion propio gracia,1
gracia rt interesante entrevistar nuevo herramienta nuevo formar comunicar,1
gracia paco rt muchsimas gracia besar colgar ratito,1
aunque menor medir tambin mucho madre supermujeres gran post,1
vez q hablar protectorado francoalemn europa velocidad est hacer ahora falto ver dnde quedo espaa,-1
impresionante enhorabuena besar percebeiros david beriain goya,1
sorgias culebra cabrón negro barbar largo,-1
enough today semana largo seguramente milisegundo apasionante recomendable,1
ir leer rato dar milisegundo vida ryszard gran descubrimiento reportero polaco,1
despegar yaque lindar pais lindo gente shak,1
bono celebrar ltima fiesta congreso preguntar si habr vivo espaa rne arrancar,1
triste rt rt pap qu catalán facha barcelona catalua,-1
extorsin mafioso carlos garca ir,-1
segundo sorprender pp presentar presupuesto tardar negociar cargndose universidad recortar derecho,-1
plantear rajoy subir iva,-1
constitucin constitucin cuntos viaje comida gratis dar nombrar feliz dar,-1
bueno dar party timar,1
okupa gustar edificio concepcion jeronima xq obrar gustar mas edificio estrenar pagar,0
hoy dar constitucin acordar cada dar millón personar bajar umbral pobreza,-1
monti decir cobrar ﻿1 ministro demagogia populista hacer tragar ricino recorte aristocracia financiero,-1
chacn confa democracia interno partir dar constitucin,1
primero ley ser desarrollar reformar constitucin xra garantizar estabilidad presupuestario dir n brusela,1
empezar acto homenaje constitucin prximo presidente gobernar,1
bono zp dar mejor espaa momento difcil rajoy desear acertar decisión x bien,1
gallardon hablar amigablemente zapatero guerra alonso pepio recibir cariar periodista amigo,1
enchufar milisegundo ir zp,-1
rajoy romper silenciar fiesta congreso plagar ausente,-1
corrillo rajoy ministro cabeza hablar nadie sorpresa razonablemente previsible,0
institución deberan hacer decilitro dar d litro constitucin fiesta cvica d todosdestacando valorar democrticos acto polticos,1
alguno ca catalua siquiera acto institucional dar hoyno interesar recordar,-1
agradar coincidir amigar mechor denunciar tecnicas mafioso euskadi,1
dios mo tan real dar miedo nimo mams trabajador poder supermujeres,1
yagrin ver imposible ser imputar casar erar,-1
gracia seguirme,1
vez decir amigar hacer dao poder quiereque razon tenia seguire aqui personar quereis,0
ah ir editorial rt favor cmo pasar metro impostor testigo cargar,-1
ver aclarar entrar qu aqu actor esperar,1
museo cueva nerja abrir previsin visitar ao,1
periodista ser asesinar ltimo ao hondura,-1
ahora si despedir lavar pios pa cama hola besar bueno noche ver acabar llegar,1
q saber seguro q entender,1
sintona total rajoy zapatero importante matizar rubalcaba recepcin dar constitucin,1
merkel sarkozy rendir encanto presidente rajoy ir,1
rt sr mas garantizar sanidad publicar calidad universal anticonstitucional celebrar dia constitucion,-1
bueno dar presidente gobernar pleno verdadero lder d oposicin partir poner d acordar luego posible,-1
europa construir recortar bienestar austeridad si inteligente bienestar moderno inversin creer emplear,-1
dejeis ver video acabar rt declaracin j fijaos bermudez minuto zougam merecer juicio,1
ir tiempo hacer hoy niebla parecer boca lobo fro fro apetecer calentido para el cuerpo,-1
bueno dasos adjuntar columna hoy necesidad d reformar constitucional,1
dnde saldr dinero banco malo rajoy segn wsj,-1
rt gracia marivi rt encantar ver aqui,1
amigo compaera partir,1
interesante anlisis reto socialismo,1
igualmente responder dentro nueve mesar inmenso placer tenerte hoy,1
piloto iberio poner riesgo viajar navidad mil personar holgar dar diciembre,-1
querer potenciar estimular mejorar alumno ser impartir profesor funcionario,1
si bono podar haber convocar ltima diputacin permanente congreso lunes noche slo hacer,0
novio cristianar ronaldo irina nombrar preferir jugar camiseta v apreciar colorir,-1
qu exigir banco intervenir dinero pblico linear d crdito pyme autnomos nuevo empresa contratar,-1
lectura navidea recomendar retar rajoy rafa bardaj,1
qu felipismo suspender cenar conciabulo contar,-1
sinde echar manir chequera beneficiar amigo contar top secret,-1
andaluz pretender robar colegio curar monje contar,-1
torrar esperar llegar acordar puerto trasladar cruceristas,1
ayuntamiento plantear proyectar mejorar accesibilidad teatro romano,1
nunca decir habamos quedar eta,-1
hoy gato juan rosell favor banco malo,-1
maana contar pas charlar iaki urdangarn convenci jaume matar firmar convenio,1
llamar iu antisistema denunciar reformar mercar hacer constitucin anticonstitucional,-1
jeje rt sentir maana echar uno risa costa,1
interesante militante q votar delegar congreso rt guadalajara abrir caminar v,1
rt peridicos falto calor sudor humanidad gran entrevistar periodismo ir,0
lstima hoy terminar ac ftbol siempre revancha equipar pelear grande coser,-1
siempre rt gracia,1
insomne aqu ser presunto puente recortar familia real,0
gracia principal chile unir podeis visitar cont,1
ahora decir regalar cam banco sabadell cargar fondo garanta olvidar frob financiar fondo pblicos,1
disculpar confundirlo jess cachar,-1
duque ofreci matar amistar leblanc llevar tour balear lograr contratar milln,1
rajoy acabar entrar asamblea pp europeo sonriente punto comenzar maratn reunión,1
heredero sombrar imperio zara,1
rt lector chaves nogal enhorabuena,1
excelente resumir presentacin ltimo disco beber escribir fermn zabalegui,1
men increble,1
espaa pas milisegundo sobrecualificacin laboral todo unin europeo,-1
cambiar conversacin dficit crecimiento,0
contars si explotar europa decir sarkozy,-1
rajoy cumplir mandar troika milisegundo recorte social banco malo pagar ciudadano devaluar emplear salario,-1
videos final copar davis subir youtube alcanzar milisegundo visitar,1
bolsa bajo primo subir razn bce seguir negndose actuar mercar deuda vetar alemn,-1
gobernar funcionar indultar do empresario condenar defraudar millón ir,-1
terminar cumbre marsella ofrecer compromiso dficit exigir capacidad decisin espaa,0
rt cosmeticos lujo suite moscu despilfarrar final sinde ah bueeno suite,-1
parecer indignante ministro sinde gastar noche hotel mosc noche comer familia personar mesar,-1
q pagar rt ltimos dar mentira gordo saludo,-1
verdad miguel monte preso milisegundo antiguar espaa llevar aos crcelvergonzoso vomitivo,-1
bien enhorabuena pelirrojo,1
ser temprano morir sueo descansis muak,1
hacer hazlo pronto pues mirar leer epn leer jaja,1
lderes seguir discutir portavoz vendindonos acordar fondo discutir formar,-1
hoy ertzaintza descubrir unzulocon armamento eta ocultar monte bizkaia municipio abadiano elorrio,-1
curiosidad insomne rajoy pedir poder bloquear fondo rescatar si dar sera fracasar zp do,-1
dejar foto concertar palmar mallorca veris visitar lujo recibir noche,1
hacer do dasmuchos rumorar dar centrar trabajar diario ilusin volver jugar equipar,1
resumir largo agrio noche brusela pactar fiscal reinar unir by,-1
falto informacin valorar reformar d ue aprobar noche esperar q nuevo euro solo cruz sino tambin caro,0
despus d comprometerlo conversación internacional querer saber ir rajoy recortar metro d euro dficit,0
bdas reinar unir quedar indicar paises euro dar pasar clavar bueno direccin unin fiscal,1
rajoy actu ayer primero vez jefe gobernar entr europa pisar fuerte prometer exigir mismo hacer aznar,1
ltima entrar consejo ue sonriente,1
intentar llegar pactar virus deponer armar actitud inmunidad cambiar inmunidad,0
ofensa odos sordo joder arrancar mandbula zarpazo,-1
ahora zapatero ofrecer rigor nombrar rajoy recobrar pesar ue,1
rt gracia an faltar dar segundo si tendr tiempo hacer celebrarlo,0
rt periodista obtener documentar explicar qu miedo reinar unir,-1
rt papeln chipriota irlands traductor poder hablar adelantar papeln ser rajoy,-1
merkel sarko barroso charlar pie cameron sentar solo caro enfadar,-1
encontrar nuevo zulo explosivo pas vasco mientras eta existir caminar seguir combatindola,-1
rt permiso sumir,1
reinar mundo mo,1
jajajaja ro llorar rt cuba dictadura,-1
saber,1
increble q an existir gente defender rgimen cubanoeste verano cuba nadie hacerloesa izquierdo trasnochar espaola,-1
pasar bien recomer fallir lujo saludarle personar,1
cameron rechazar reformar tratar lisboa acordar limitar pase europeo,0
zapatero decir rajoy comprender perfectamente calar ideo vetar solo fondo rescatar europeo,1
gracia chico ltima estrellar brillar antena,1
tnel roquillos herrar cerrar semana caus prdidas ecas considerable,-1
qu suponer ceder merkel duro negociacin,-1
rt suponer ver besazo,1
guardiola rodar prensar alarde paciencia ojal ahora transformar beber echar uno risa,1
irona qu abandonar,-1
apoyar cariar luis aizpeolea gran periodista excelente personar,1
mejor timeline est disponible historia dar,1
mandamiento hacer bueno campaa electoral,1
uropa ibra conclusin cumbre euro aislamiento definitivo reinar unir,-1
temer dejar hoy amig sergio dalma rafita ser bueno noche bs,1
qu tragedia cubano perder vida buscar libertar castrar pagar,-1
lector algn problema particular encontrar mencionar primero novelar decidir leer iaki uriarte,1
suerte feo guapo desear,0
hartar clsico qu cansino mundo partir creer pep saldr defensa,-1
jajaja hacis rer si pelota dira mejorar followers mundo decir ir bien,1
gustar nuevo aplicacin twitter despistar bastante qu ventaja ver anterior momento ninguno,-1
tengis bueno dar familia beso abrazar gol tod,1
boe publicar hoy indultar alfredo senz indulgenciar plenario decir borrar excepcionalmente antecedente penal,1
indultar senz borrar antecedente penal q poder cumplir honorab q exigir normativo bancario,1
jajajajajja mierda nuevo twitter locoo,-1
charlar enric gonzlez mart gmez debera animarnos crear ir,1
hola haz rt encontrar perro foto est info,-1
animoy ojo,0
encantar conoceros aqu redaccin mundo gracia ser placer cc,1
etarra encarcelar pobre perseguir pensamiento delincuente fanatismo hacer coser terrible,-1
bueno rt bueno diputar rt please gracia saludosel 3 jinete,1
habr ir calentar motor noche ir ver clsico,-1
shakira gan ayer premio artista latino milisegundo importante influyente mundo mejor artista int lengua espaola shakirahq,1
consciente importancia cultural musical salar malandar ir buscar solucionar dueo,1
segundo competicin realabiertano simulacro futbolero d aquvamospaueres sers mas grande,1
gustar ftbol impacientar x ver jugar ganar mejor,0
tribunal cuenta ver irregularidad contrato semestre europeo presidir zapatero ir,-1
clavar partir hoy miedo si mou sacar equipar amarrar ganar barca madrid slo poder ganar si salir ganar,1
je je grande telonero,1
oido noche millón personar vern partir madre mabuena suerte,1
hoy ver clsico pub londres do madridista armar tomar ver si llevar alegrar,1
nadie enfadar noche tambin poner tele perro hortelano ltima estupendo pelcula pilar mir,1
mejor timeline est disponible historia dar,1
agradecer todo muestra cariar q recibir hoy aqu aquno palabra gracia infinito,1
apagar vmonos qu malo pato,-1
felicitats bara madrid quedo ligar bueno noche amigo gracia ser,1
do coser puro ficcin segundo color,0
risto ver moderar hoy merengue xd pues segundo odiar gente saber ganar,0
concertar noche secreto madrid mencionar enrique urquijo pantoja creer escuela,1
puntito salir charleston baezapor cierto enhorabuena fcb seguidor,1
parecer desgraciadamente fallecer personar guerrero,-1
maajo bueno viajar parecer daos temblor pasar mayor,1
bueno abrazo tod luego,1
poder encontrar viciar tentacin cada esquinar,-1
merkozy equivocar via,-1
deber haber mas limitar viejo reglar oficiar buscar verdad verificar respetar bueno practicar periodismo,1
reiterar cuestin personal sino debatir necesario ir mas all profesin periodismola red abrir espacio nuevo,1
hermanar,1
fomentar deportar prctica valorescreemos milisegundo urgente recuperar ministerio agricultura,1
japon hora asi q ir dormir jet lag ir rapido sueo,1
volver disney,1
nervio,-1
si dar tiempo subir alguno foto quieroo,1
cuidar palabra admirador ftbol independentista,-1
catalan cabron si rata soltais euro racanos,-1
eeuu fmi insatisfecho resultar cumbre euroepa maana em anlisis cumbre centrar tarea rajoy,-1
grande querer estudiante agriar an milisegundo fin d semana horribilis madridismo,-1
grande ﻿1 equipar maadrid,1
madrid gracia cariar ser placer,1
maana maana montón asalariar pp volvern twitter dar tiempo acueducto,-1
ste nuevo fantasmagrico hospital toledo vario aos despus ver foto,-1
dvillepin candidato ala presidencial francesastfrencor acumular dosns dv,-1
propsito actualidad recordar gregorio ordez,1
capaz mejorar cancin tanto vez cantar mejor manera recordarlo querer,1
bueno nochesdesde disney decir querer familiaa,1
mueco verdad clavao,1
llamar salvar favorito ahora comercial hoy quedo solo cada equipar,1
subir tarifar taxi madrileos medio d bajar bandera diurno subir cntimos pasar euro,-1
tardar firmar cortar ingls diagonal barcelona foto dedicatoria especial tuiteros,1
interesante artculo manrique pais,1
bueno dar empezar semana bastante duro trabajar concierto seguir altura temporada convertir retar,-1
dar mas puerta gnova hoy portavoz presidente congreso senado mucho quiniela poco certeza,-1
qu generoso jaja,1
interesante tribuna jos manuel garcamargallo cumbre ue,1
rajoy pedir mayor esforzar legislatura ir ser menos fcil explicar,0
confusin junto directivo pp zoido presidir xvii congreso nacional febrero comisin organizador dirigir pedro sanz,-1
dnde sacar tanto frase ingenioso gente explotar almacn llamarlos gente generoso partir,1
castilla len cabeza rt proponer jess posar presidente congreso,1
gracia luego contestar particularmente,1
enhorabuena presidente congreso senado jess posar portavoz alfonso alonso jos manuel barreiro,1
do nombramiento rajoy manir duro guante plata posar dar bien tallar guio castilla len,0
cruz est salir rt miguel carcao as vivir crcel bueno rpor,1
metro sevilla banda sonoro navidea hacer milisegundo ameno esperar perono crisiscunto cuestadebera suprimirse,0
preparar gran espectculo jueves ayuntamiento ir cobrar vida,1
zapatero decir aprob ley descargar internet presin redar social,-1
have an amazing week everyonemuch peacela semana comenzar bien forzar todpaz,1
gracia q pensis q periodista mas influyente despaa graciasenhorabuena,1
hacer q valoris fantstico seguir trabajar aun mas libertar honradez informacin gracia,1
nuevo adquisicin literario muerte acompae enhorabuena encontrar,1
bastante acordar eleccin aqu mujer milisegundo atractivo ir,1
dejar foto primar hoy cumplir ver si invitar página,1
lunes negro d urdangarn abogadoportvz ocurrir coser q decir est indignar coa asambleario asegurar,-1
abogar indignar xq rey informar indignar segundar tambin,-1
basto sobrar decir tras quedarse diputar rasar portavoz,1
perdis prado nuevo bruegel fiesta venir restaurar aqu maravilloso viciar virtud siglo xvi tan moderno,1
alexander kwaniewski ex presidente polonia polonia hacer europa perder tiempo ganemoslo,-1
pte portavoz portavoz adjuntar incluso portavoz rotatorio desempeado portavoz existir corte diputar segundo,-1
estrenar noche radiar,1
gran foto fatima culpar culpar gran culpar,0
celebracion dificultad zona euro,-1
aqu dejar concertar jan beso,1
eguiguren socialismo desierto cantimplora,-1
maana adorar porqu ideo siempre creer ir pasar bueno,1
poder aprovechar gol inicial sacar provecho segundar tiempo jugador milisegundo,0
maana mas seguro seguro seguro mejor,1
gracia rt mxico rt votar cont,1
bueno dar as amanecer madrid,1
rajoyintentaremos repartir manera equitativo costo crisis econmica primero obligacin gobernante ser justar,0
embarcar gerundio martes adems llamadme valiente destinar barcelona,1
rt enhorabuena tomar posesin escao congreso senado dar iniciar x legislatura democracia,1
hoy constituir corte d dcima legislatura ademar escuchar reaccin abogar urdangarin,0
preguntar qu bermdez querellar em respuesta instruccin sumariar podran practicar prueba,-1
empezar primero reunion grupo popular congreso nuevo diutados llegar despistar veterano expectante si acaso,1
bueno dar gente adorar noche servicio anoche disfrutar espectculo compaa,1
llegar posar contar q bono dar bueno consejo dipu comproms llegar bici,1
dar igual corresponsal poltico acreditacin permanente prensar congreso dejar periodista callar,-1
tambin aprobar siete portavoz adjunto ratificar tefilo luis secretario tcnico beso,1
celebrar hoy descansar ir dentista,1
amaiur tendr grupo solo diputar pvasco navarro faltar uno dcimas tomar posesin momento,-1
slo q tomar prestar diputar foro temporalmente grupo parlamentario upyd,-1
hoy asistir diputar constitucin cmara bajo falto solo diputar amaiur navarro,-1
actual situacin econmica hacer urgente adoptar medio control gastar pblico austeridad administracin,-1
recibir preguntar nuevo congreso poder pedir reenviis etiquetar,1
familia gracia mensaje aqu leer desear feliz dar,1
ciu obligar rectificar gispertya valer todoincluso litro xenofobia mover rbolotros recoger ls nuez,-1
pues ocurrir rt qe haras si oscar ganar divertir fan,1
bien chico besazo rt feliz metro jefee ir all,1
jeje bienvenid gringit fuerte abrazar rt cont,1
maravillar besazo anorme tru princesa rt creer cada cont,1
maniobrar amaiurno tomar posesin diputar x navarrano garantizar grupo parlamentario ltima palabra mesar congreso,-1
spro pasar ls aos dar igual vengano indignar decilitro palcootro estmago agradecer q,0
pues favor votar gracia rt gallar,1
noche pasar bajar escalera vestir amarillo echndole salir gato mientras romper espejar ver tsqv,-1
si parlament poder decirls espaoles robanlos durar tendrn licenciar decirls homosexual enfermo,-1
aunque caer igual volvera especial navideo tcms,0
camps molt honorable suponer ciudadano querer ir bien vestir,1
novedoso ancdota esperar congreso convertir circo guardar respetar merecer,1
hacer robar reclamar bolsa vida ahora bolsa parecer robar vida reclamar maana enterar,-1
mesar acordar partir poder solicitar grupo jueves ocho tardar medio hora despus reunir mesar,1
catalua decir q dinero pagar nminas si financiar cine lsbico contar,-1
enhorabuena rt bottup nico proyectar espaol citizen medio toolkit changemakersgoogle,1
nuevo ai weiwei luchar democracia chino,1
minuto agricultura hacer agroalimentario sector comp vertebrador página,1
est aqu todo info entrar ye we spain i different barcelona ir liar,-1
bff acordar sta,-1
teresa cunillera psoe premiar luis carandell mejor relacin prensar,1
lvaro nadal pp premiar diputar revelacin,1
tan slo libre milisegundo perder si estuvistis esperar q gustar bueno noche,1
joan ridao erc premiar azotar gobernar,1
tuiter aos diputar llevar ovacin noche,1
alguien mesar rubalcaba levantar manir preguntar candidato liderar,1
uxue barco premiar emilio castelar asociacin periodista parlamentario merecer,1
qu chollo casar vender preciar hipotecar si referenciar suponer preciar barato,0
consejo unin europeo defender proponer medir concreto,-1
bueno dar pasis estupendo mircoles,1
verdad posible q urdangarin montar tan tosco escandaloso q preferir pensar q engao asesor fiscal,-1
decir madrugar dios ayudar creer mentira jajajajaja,0
qu bien pasar carmen plantilla em andaluz seguir celebrar xv aniversario,1
morir hombre chocar frontalmente vehculo q conduca contrario caminar altura roda andalucasevilla,-1
razn adriana maana programar federico sinvergenzay quedar corto,-1
alfonso alonso amaiur cumplir reglamentar formar grupo propio elmundoes,-1
juez grandemarlaska demandar medio profundizar milisegundo violencia machista,-1
segn monte tal periodista q decir barbaridad altura tratar miguel angel noceda pais contrastar,-1
david prez ser nuevo presidente federacin madrilea municipio,1
emt cerrar ao histrico superar primero vez millón viajero,1
comprar torremolinos navidad tendr premiar euro,1
firmar contratar obrar bulevar opinin mlaga,1
cualquiera reclamacin plantear basar estatuto,-1
prctica pluralismo trocar duopolio antena anunciar fusin absorcin sexto,-1
psoea acepto ninguno enmienda oposicin presupuestar,-1
alonso portavoz psoe tono oposicin ir ser responsable progresista ir defender inters gral ciudadano,1
rt deberamos dejar ser portavoz sur ser altavoz sur gustar ideo,1
sic transit museo cera estudiar apartar figurar iaki urdangarin familia real ir,-1
ahora entender gustar gustar humano malinterpretar seales sexual as,0
agresin cmara fotogrfica costar creer versin policial detencin fotoperiodista,-1
intermodalidad permitir acercamiento negocio creacin nuevo servicio suponer impulsar cont,1
cada vez gustar milisegundo seccin energa positivo,1
clera manzano ir encimar enfadalo getafe albacete cornell siempre tambin litro,-1
seguir describir periodista querer ser rosa mcalaf nmica ana rosa quintana bueno,1
minijobs parecer horror solucin mgica problema espaa est reformar mercar laboral,-1
mercar navideo manchestermuy bonito,1
placer rt ver habitual ranking sesin extraordinario,1
poder evitarlo siempre milisegundo scott bueno noche,1
dar pistar ir sentir identificar pas cercano,1
prncipe proponer modernizar monarqua ocho mens navidad crisis rihanna bcn,-1
twitter noche ir pedal desconectar si venir costar tocar subirla metro cataclock analgico click,-1
bonito foto primero funcin concertar alicantebesos,1
buenisimo jajaja viajar rt ale vestir avatar tú,1
dar cualquiera coser abrazar madre sentir presenciaen fondo creyente potencial,1
