data_lemmatized,sentiment
cant bring up my reservation online use flight book problems code,0
random q what be the distribution of elevate avatars i bet that kitty have a disproportionate share,0
i lt fly va but life happen and i be try to my trip jperhi can you helpva home page will not let me,0
why be the site down when will it be back up,-1
you down with rnp yeah you know me,0
hi i do not get point on my elevate account for my most recent flight how do i add the flight and point to my account,0
i like the tv and interest video just disappoint in cancel flightled flight when other flight go out to jfk on saturday,-1
just land in lax an hour after i should of be here your no late flight bag check be not business travel friendly,-1
why be flight redirect,0
be it me or be your website down by the way your new website be not a great user experience time for another redesign,-1
i can not check in or add a bag your website be not work i have try both desktop and mobile,-1
let scan in passengers leave the plane than tell someone to remove their bag from st class bin,-1
i send in my feedback thank you,0
what be your phone number i can not find who to call about a flight reservation,-1
be anyone do anything there today website be useless and no one be answer the phone,-1
try to add my boy prince to my ressie sf this thursday from lax,0
why must a traveler miss a flight to late flight check a bag i miss my morning appointments and you lose my business,-1
check out new music,0
how be a direct flight fllgtsfo have unexpected layover in vegas fuel yet peep next to me buy for vegas flight,-1
your no late flight bag check just lose you my business i miss flight and be apt three other people on flight have same exp,-1
amaze customer service again twohearts twohearts raeann in sf she be the best,1
call your service line and be hang up on this be awesome,-1
spruce moose,0
your site be trip i be try to check in and i be get the plain text version i be reluctant to enter any card info,-1
i be schedule for sfo dal flight today change to th due weather look like flight still on,0
have getaway deal through may from oneway lot of cool cities,1
have getaway deal through may from oneway lot of cool cities,0
have getaway deal through may from oneway lot of cool cities,1
have getaway deal through may from oneway lot of cool cities,0
have a great week sunwithface airplane,1
come back to already we need you to take us out of this horrible cold,1
should i be concern that i be about to fly on a plane that need to be delay due to a tech stop,-1
be the best airline i have fly oneasy to change your reservationhelpful representatives amp a comfortable fly experience,1
and again another rep kick butt naelah represent your team so beautifully thank you,1
your beautiful frontend design be down right now but it be cool to still book my ticket bc all your backend be secure,1
love the team run gate e at las tonight wait for a delay flight and they keep things entertain,1
use another browser amp a brand with a reputation build on tech response do not have a crossbrowser compatible website,-1
and now the flight flight book problems site be totally down folks what be the problem,-1
i like the customer service but a min delay just for connect passengers seem too long va,-1
thank to your outstanding nycjfk crew who move mountains to get me home to san francisco tonight,1
you have the absolute best team and customer service ever every time i fly with you i be delight thank you,1
do you provide complimentary upgrade to first class if there be available seat,0
i need to change my flight thats schedule in hours and min wait time on phone im call intern help,-1
bummer but thank you for the quick response,1
completely awesome experience last month boslas nonstop thank for such an awesome flight and depart time,1
how can i watch the on my jfkgtsfo flight,0
be flight cancel flightled and what do i do if it be,0
you be fail your customers because your check in process do not link to tsa precheck,-1
us too terrible airline just give us a hotel hotline number and say sorry,-1
have flight number from sfo to cabo san lucas arrive yet,0
your assistance yesterday when you cancel flightled our flight be to give us a hotel hotline shame on you,-1
another delay flight,-1
i need to register a service dog for a first class ticket from sfo gt dull the phone queue be an hour or longer pls advise,-1
you rock for make it so i can watch on my flight,1
drop a track on you,0
always xoxo,1
why can not we book seat on your flight when we buy them or even during check in create so much anxiety,-1
youd think pay an extra buck rt for luggage might afford you hire an extra hand at,-1
best customer service rep in the world take the cake,1
can you find us a flt out of lax that be sooner than midnight on monday that would be great customer service grinningfacewithbigeyes,0
please provide status for flight i cant imagine it be on time as the web indicate dude to weather here andor dallas,-1
you have amaze staff amp super helpful as i just run the they have spoil me with comfort,1
i pay the premium to fly you across the country you cancel flight my flight and offer no check fee or upgrade love sad face sad,-1
question be it not possible to book a seat for an infant under its not give me the option but we want a seat for him,-1
always have it together youre welcome rt youre so welcome,1
home to in back to,1
i do not understand why you need a dm to give me an answer on if you have a damage luggage policy,-1
do that mean you do not have a policy for destroy luggage,-1
be there special assistance if i travel alone w kid and infant priority board,0
thank you for check in ticket be purchase and customer be happy,1
be your website ever come back online,0
be flight from love field to sfo definitely cancel flightled for monday february,0
be flight out of lga to dfw on time,0
my drivers license be expire by a little over a month can i fly friday morning use my expire license,0
have problems flight book problems on the web site keep give me an error and to contact by phone phone be minute wait,-1
how do i reschedule my cancel flightled flight online the change button be grey out,-1
i ring but there be a wait for minutes i can book the same ticket through a vendor fix your site,-1
get a flight we be tell for todaychecked my email and its for tomorrow this be unacceptable,-1
our flight into lga be cancel flight be stick in dallas i call to reschedule tell i could get a flight for today,-1
why do not any of the pair include red wine only white be offer sad,-1
be the website down,-1
your site seem a little wonked right now may want to have a look try on two browsers no css,-1
i be disappoint that the agent at the designate silver status check in line close to assist all pasengers,-1
plan to include austin to its dallas route topnews arab,0
be it normal to receive no reply from central baggage,-1
at logan airport and wait to checkin for my be flight checkin desk not open why,-1
to jump into the dallasaustin market,0
beat eps view take on va luv investors business daily,0
lister to my show my on monday,0
to begin dallasaustin in april ketr,0
congrats you just get all my business from ewr to sfolax fuck you fl sfoewr be the clincher,-1
i apply over weeks ago havent hear back and i be fly this week,-1
i would love to know what your policy be for damage luggage,0
thank you for the follow,1
too many apologies you be the worse airlines dont even respond to your cudtomers,-1
shame on va for make people spend money in strand cities when other airlines be land at jfk who will reimburse me,-1
i dm you,0
can you please have flight in sjc i have no choice but to fly southwest to vegas wearyface loudlycryingface,0
too bad you say it take to days via your confirmation email when i inquire after weeks you claim to weeks,-1
flight from bos gt las tomorrow be cancel flightled no notification wait time be hour will you rebook on another airline,-1
smilingfacewithsunglasses rt youve meet your match get status on another airline upgrade restr,1
only way to fly,1
if only you guy have flight from cmh,0
any update on flight from jfk gt lax,0
a lot of apologies be throw out to customers from what i can seevery sad thank for nothing worst airline ever,-1
for all my flight stuff wrong and do nothing about it have ever,-1
have an issue find a miss item on a plane can you help me find which airport my plane head to next,0
you will match my status cool,1
youve meet your matchgot status on another airline upgrade hearnoevilmonkey,0
try to book a flight with you guy and your website will not let me about to lose my business,-1
you suck,-1
thank,1
just dmd same issue persist,-1
because we never recd cancel flightlation notice we be leave w no options to fly out of ps drive to la for a red eye mon w kid,-1
try to book a flight amp your site be down beamingfacewithsmilingeyes,-1
you have any flight fly into boston tomorrow i need to be home and you cancel flightled my flight and do not do anything,-1
you stink flight cancel flight from psp to jfk and no notification or ability to rebook better,-1
i love your guy song be dance to it for our high school dance revue,1
your website be down and i be try to check in,-1
do thank you for the quick response apparently faster than sit on hold,1
nervous about my flight from dc to lax get cancel flightled tomorrow just send you a dm to help me,0
cool picture of another virginamerica plane off our wing what a site,1
keep up the great work smiley,1
my goodness your people field be amaze under pressure redheart from texas in crisis please fly me to ny,1
thank for a great flight from la to boston pilot do a great job land in the snow can we go back to la now,1
can you please get me to the new york area before monday afternoon,0
thank so much for the awesome support you guy rock,1
seat in row do not recline should mention that on your website,-1
flight delay hours in la due to mechanical problems handle like pros but you could have toss us a free drink,-1
why cancel flight flight today no precipitation to be scar of snowflake snowflake snowflake,-1
twitter team you guy kill it for reschedule me as soon as possible thank you,1
you guy charge me to reschedule a flight that be then cancel flight and be now refuse to refund it whats the deal,-1
can not access your website from safari on iphone seem to work on mac and ipad need iphone to add passbook,-1
on ipad and iphone click the checkin link in the email i receive at hrs before flight,0
your mobile site be break show headerelevateusernumofpointsavailable number point will not let me checkin,-1
i be really look forward to my flight can you let me know when it will be reschedule,-1
why cancel flight flight vx one sec its delay on my to airport the next its cancel flightledgonna email or call me to reschedule,-1
i do it but there be a problem in the link from the email for checkin thank,-1
have to change to another airline to get to dc today why be able to land in dc but not you cost me ugh,-1
i be so look forward to my first flight with you today but it be cancel flightled along with the subsequent one,-1
when be you put some great deal from pdx to las or from las to pdx show me your love,1
wish i can afford to fly with you next friday go back home love everything about your airline,1
how be you go to have a deal from dallas to dc but no deal from dc to dallas,-1
it be just a bug report guy,0
hold time at call center be a bite much,-1
like,1
site down,-1
you have the best flight attendant ever,1
awesome rt watch nominate film at feet,1
thank so much,1
try to reset my password email never arrive help,-1
the only airline base in silicon valley s,1
very nicely do clappinghands,1
i be look forward to watch the oscars on my flight home tomorrow i might even get something bubbly to drink,1
what be the reason for the delay of the departure of vx from jfk this afternoon,-1
be todays flight from palm spring ca to jfk in ny cancel flightled,-1
hahaha facewithtearsofjoy you guy be amaze i love you guy growingheart,1
sound like fun,1
the css on your site be a right now please fix site unusable,-1
be on flight vegas to boston today check in online but our bag count do not register can i fix that somehow,-1
classiq love virgin america greetingz,1
hi i be try to do checkin but the website be not work i try different browsers and the problem continue,-1
thank for your great customer service today amp for help me get all my travel sort out,1
thank guy sweet route over the rockies,1
love the s music blast at gate in while wait for flight to only if i could get an ice coffee,1
the passenger in d flt that assault me should not have fly i trust he be ban crew file report to,-1
current bug on website show select departure city when select destination city,-1
luggage be severely dentedmissing wheel come off baggage claim in san luggage agent miranda i think be not any help,-1
thank you for the easy itinerary shift for impend weather quick painless amp free,1
if you would love to see more girls be inspire to become pilot rt our free woaw event march at abq,0
to jump into the market,0
thank good time there and back the entire flight cocktailglass,1
beat expectations share take off santa cruz sentinel,0
any plan to start fly direct from dal to las,0
big lovegratitudempower w werin vipswagbags,0
you be do a great job add little luxuriesaesthetics that improve the air travel experience thank you keep it up,1
request window seat and confirm window but get stick in middle seat not a good way to treat silver member unamusedface,-1
grand budapest hotel,0
this be what you miss next trip to the,0
i pay for direct flight on purpose not to have to stop for fuel exhaust frequent flier and nothing for inconvenience,-1
there be something wrong with you website in safari iphone,-1
thank for gate check my baggage on your full flight dfwlax and give me early board too,1
already check in so the page expire x,-1
boo for a not refund a seat upgrade fee i do not want to buy in the first place,-1
share rise on q financial result usa today,0
add pillow instead of lieflat seat in first class arm race,0
i see what you do there,1
way to take advantage of smiley,0
you know i be fly virgin for the fight,0
your inflight team make the experience,1
cutest salt and pepper shaker ever just when i think you guy can not get any better you just do,1
move my seat with no notice better seat be cabin select not behind the row i select thumbsdown,-1
share up on q result,0
fav airline,1
we have a hot female pilot sweet dca to sfo,1
thumbsup thumbsup airplane airplane growingheart when be you guy go to start fly to paris youre welcome,0
what be your policy on fly after surgery i be still wait for answer so i can tell me doctor,0
already contact central baggage amp send dm be charge me for the dress that be in the lose suitcase,-1
thank you,1
be there anything go on with the website i have be get a lot of errors past minutes,-1
i think i leave something on the plane yesterday who do i callah,0
i need you to follow back in order to dm,0
need to start fly to smilingfacewithsmilingeyes grinningface grinningfacewithbigeyes grinningfacewithsmilingeyes,0
they tell to check with the airline regulation first so that be why i contact you,0
i have just check in flight to sfo from lax amp be tell as atlantic fly club gold i get no benefit,-1
husband and i order three drink via my screen and they never come awesome,-1
soo be you guy go to leave the seatbelt light on all flight you can barely call this turbulence,-1
what be your policy on fly after surgery,0
post second consecutive fullyear net profit,0
funny story your website be break you have miss javascript and stylesheets on the checkin process i dislike this,-1
would love to do more for virgin just like i do for,1
result handily exceed forecast,0
i apply for a position in and i be wonder if you guy receive my application,0
how about some free drink on the flight back for the free promo,1
achieve a second year of profitability despite revenue pressure,0
give positive outlook but see increase competition,0
i be try to check into my be ct flight tmm on the desktop website and it be not work some sort of cache bug sos,-1
weather delay gt next few weeks,0
check the website before you go to the airport,0
do you guy know your checkin link from email be break,-1
pilot say we expect a choppy land in nyc due to some gusty wind wa temperature of about degrees amp wthe windchill,0
love it cant wait for mondays return flight mostly just to watch the inflight safety video again,1
lose my luggage days ago on flight vx from lax to iad amp i be call every day no responseplease give me back my stuff,-1
the flight book problems section of your website seem to be break on chrome might want to look into that,-1
hi just want to see if you have any new rout plan this year for newark love fly you guy and hope to do so more,1
i mean probably inappropriate while on board but it be on,1
happy to spend the day together let do this,1
be save my sanity right now,0
miss my flight how do standby work,0
they be very understand and help me out thank you,1
bring it all the way across the country today i see,0
thank you i absolutely will smilingfacewithsunglasses,1
look like a break link for your assets,-1
be you ready let say it together noo turbulence today faceblowingakiss,0
the manage itinerary section of your website seem to be break for me,-1
can not check in your site look like this every time it load,-1
can you help this princess need urgent treatment in unitedstates y old battle cancer could you help with flight growingheart,0
may start service to hawaii from this year,0
that do not look to fat to me it look yummy,1
other carriers be less than half price for a round trip fare i be stun,-1
what the fuck be happen in pdx late flight march such that one way from sfo be,-1
add dtw and i be sell,0
thank,1
momma i make it beamingfacewithsmilingeyes beamingfacewithsmilingeyes beamingfacewithsmilingeyes,0
please contact me about portfolio leave on flight vx from jfk to sfo tonite seat be need it return call,0
help i be on flight from jkf tonight seat c leave portfolio need it back,0
seattle bind wifey get me the duffle for vday shes a keeper holla,0
my luggage be go i have file my paperwork promise a callemail still no resolution or response from central luggage,-1
debbie baldwin give a performance of the safety demo this even on vx,0
thank,1
thank for take care of on her flight,1
thank for the lovely soft view to,1
i request a mileage challenge for status several weeks ago online but have not hear back how do i get help with this,-1
just try to book ticket to nyc and face super fun break style dont worry i will keep try smiley,-1
many thank for the follow look for any help smilingfacewithhearteyes growingheart unitedkingdom growingheart unitedstates growingheart ribbon globeshowingasiaaustralia ribbon,0
nice lofty view,0
apply for status match on feb get confirmation email same day still no news though you guy have drop ball late flightly sadbutrelievedface,-1
be my new go to airline,0
can you help in need of some help in ribbon unitedkingdom ribbon unitedstates ribbon,0
i adore you and be so look forward to my flight to austin in two weeks,1
i be so glad it be mention i take my first virgin flight a few years back and it be a transformative experience,1
flight book problems flight to uphold my status match do tax on ticket count as earn status point,0
try to checkinbut look like your site be down,-1
spend my birthday night with you daldca get me home,-1
send a couple message to the email you provide but to no avail will try again next year cheer,-1
first time fly virgin go to thank for the smooth ride easily my new fav airline,1
seriously though will there not be direct flight from sfofll in may,-1
its fine already do with my purchase but you should try it just go most of the way through then go back,-1
very poor experience first computer problem now seat malfunction stick miss meet in san diego,-1
not really the experience i be hop i ws force check in a small carry on w nothing but empty cabin space on board,-1
wjere be our luggage slow at lax,-1
i speak with a representative that offer no solution i be a loyal customer who fly on as well,-1
i be deeply disappoint that your birthday promo be not apply to a trip i book mere days before i receive the email,-1
what happen to direct flight from sfofll look in may only see connect,-1
can you help leave my blazer in kooples jacket bag at rd row second seat from right gate t lax flight to sfo,0
partner with checkout as mobile payment method to help boost mobile conversion rat,0
just promote the product be all have a problem with southwest and recommend noneother than the best,1
love you guy but pls get some direct rout las to aus,1
i would like help with some flight please,0
bruh turn down for what,0
of course i work for and i be obsess with the entire virgin family,1
ok first time fly with you tonight smiley,1
dig the swanky pink mood light during the flight from nyc to sfo just need a cabaret singer think about it,0
do but i need the receipt as soon as possible could you please help,0
i have d and d emboss badge and patch superior to the ones you be currently use,-1
on vx from jfk to la dirty plane not up to your standards,-1
on flight vx head to la from jfk dirtiest va plane i have ever be on sad for a great airline,-1
get it square away someone pick up as soon as i tweet should have tweet sooner winkingface,1
your avis rental continue button do not work on your website to book car try time on phone this suck,-1
delay to,-1
currently in minute of be on hold with cust service do i need to do anything to add a lap child to my reservation,-1
add pillow instead of lieflat seat in first class arm race by,0
of course have fun celebrate thank happy chinese new year,1
flight book problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guy,1
comenity bank be a joke please change nothing but constant problems with this bank,-1
i just do how can i dm do you have to also add me,0
for my grandma ellas th she would lt a bday greet from your flight crew she be a stewardess for eastern airlines,1
just buy tix for atx dallas route thank for add that love yr airline amp yr website be best transactional site ever,1
anytime sugafly,0
give a credit for my late flight flight yesterday great service thats a wow moment unexpected gesture,1
i need a receipt for a flight change can you send one,0
i submit a status match request a while back and still have not hear i be fly on monday can you look accelerate,-1
have me at their safety video love my first cross country flight,1
ceo say amp have stray from low cost model,0
a brilliant brisk be in boston in cue for vx,0
atlantic plough a lone furrow in the,0
atlantic plough a lone furrow in the,0
atlantic plough a lone furrow in the,0
omg omg smilingfacewithhearteyes smilingfacewithhearteyes nonstop dallas to austin on virgin sparkle facescreaminginfear airplane,1
your plan be really pretty just think you should know that smiley,1
when be you fly to hawaii,0
i be pull my hair out try to book a flight with you your site do not work on iphone or ipaddont have a computer,-1
thank you,1
can i get some help with a support ticket its be days incident thank you,-1
good to be home,1
i can not even open my laptop in seat c and i pay a premium for this let me out of here,-1
i be in seat c and i can not even open my laptop and i pay extra for this seat,-1
if only you guy be start those flight at the end of the month guess i be still road trip on feb,0
thank for that be need a way to make those austin trip from dca and now you have come through,1
announce new route to austin wfares from way,0
really sprint i think you guy be kewl,0
this be too cool never be on ur plan but now i will,1
you should have dollar laxlas fare,0
great well deserve,1
for your information the infocom email address you say to contact in password reset email do not exist email bounce,-1
status match weeks have go by and no newsflt next week hope flt will count towards requirement cust service no help,-1
your website suck donkey dicks just think you should know all best,-1
you should still develop an app then you will be my favorite airline,0
all crap channel which be why i pay to watch uk tv,-1
get it all set thank,1
no as channel this year,0
only thing i see on passbook be virgin mobile mexico how do i integrate,0
giants and virgin america a match make in heaven,1
thank goodness also see you friday nwkgtsf boom,1
how come you do not have an iphone app still use and make me waste paper,-1
your back of seat entertainment system do not accept credit card that have an apostrophe in the surname,-1
when will vx use all lga slot instead of today add aus make this less likely sad,-1
thats classy,1
be help me step up my game,0
i love ur people and product thing be why do you charge for herbal tea but not black tea i be not a caffeine drinker,1
thank you see you all soon i be excite to see the expansion of destinations spread those wing,1
announce new nonstop connect amp intro,0
add austindallas love field route,0
sad to learn you no longer fly sfo gt phl hope it return,-1
can you tweet me the cancel flightchng fee for a flight or can i rebook under one of your affiliate if so who be afiliates,0
have the most incredible customer service i have ever experience so refresh,1
now when will we see virginamerica come to philadelphia phl,0
be i dream do you really just open up a route between dallas and austin and do this mean houston might be next,1
omg finally,1
to start xweekly flight from to on apr,0
nice to see you expand in texas but do not forget about us here in i would love to see more flight out of here,0
kind of suck my earphone jack do not work on my flight they may want to look into that for future passengers,-1
to battle on route via,0
the dalaus route make my day,1
awesome deal dalaus for only each way,1
i miss the in san jose,0
love it take on in their backyard consumers win when biz compete,1
be fly from love to austin now that be most excellent news,1
can we make every vx plane with why should austin be the only one get nerd love,0
please add more frequency to pdx portland,0
congrats vx on the new route airplane partypopper,1
i try that you offer to charge me an additional k for a new ticket or be strand until thurs st time last time,-1
can you help with flight to get a y old battle cancer who need treatment in unitedstates growingheart ribbon growingheart,0
never have a bad experience before but this one take the cake now extortion for carry on items as well,-1
have to spend hours worry that items in carryon would be brokenstolen since i could not carry them on plane or lock bag,-1
all of group e be tell there be no more room in the bin when i get on the plane be room for at least bag in my row,-1
thank for make my flight from lax to jfk a nightmare by force me to check my carry on bag at the gate,-1
i have lot of flight to book and your site it not work i have be on the phone wait for over minutes,-1
i be all about the in flight artisanal cheese and wine pair,1
do virgin america fly direct from seattle to nyc or boston,0
i be sure a lot of your and jfklhr flight go a lot faster than mph with a strong tailwind,1
now it be just tminus minutes until my elevate a silver upgrade window open grinningfacewithbigeyes thumbsup,1
save some for tomorrow be,0
why be it take years to fly home to dallas get your shit together,-1
club virgin be bump in new york,0
would have be a rough trip but luckily we be on a flight,1
be that beamingfacewithsmilingeyes,0
please come to minneapolis st paul,0
yes for your information my bff,0
another perfect flight how come on your plan the sun visors can stay down other carriers make you raise them,1
nice rt the man of steel might be faster but we have wifi just say,1
i love the dance little richard cool bean,1
i do not use passbook i still love you though lt smiley i will just use my email in the future,1
thank for the free birthday point you all be all right with me,1
do you have an application for ios be look and only saw virgin mexico sad lt,0
man of steel fly to more cities thoughand with more frequency too,-1
thank so much for share just add it to my site,1
good point,0
i hear he have a virgin mobile hotspot,0
you get cheese plate flight too,0
on all your flight,0
dad on segway be the best part of this whole infographic,1
be there any plan for a short haul airline in europe would defiantly fly with you guy smiley,1
wifi and better seat,1
how come abc be the only one of the network channel you do not have,0
start my flight with a scold for use an overhead bin that be then offer to the person seat next to me,-1
not only be it great but you return my call the day after couldnt ask for more,1
while other airlines be not cancel flight flight into bos and help their customers get home virgin be say good luck,-1
dear virgin customer while you be strand in sf for days amp cost we will do the very least we can to accommodate you,0
should use this in their next airline commercial laugh out loud,0
group virgin in with the others now bos weather have expose their actual cus serv model never flight book problems with virgin again,-1
as one of the travelers affect by the boston storm i be shock at virgins complete apathy toward their customers,-1
umm so no reason as to why this be be there someone different i should contact or contact me to get a definitive answer,-1
as a k i be always hop for improvement,-1
try to make the change in advance not just hours priortried it online earlier and it want in change fee,-1
so loyal that i be drive to from to fly virgin since you cut flight,1
any way to change from main cabin to main cabin select on same flight without pay a change fee penalty,0
do i win smiley,1
you guy be perfect as always lt,1
thank yall have some of the best customer service leave in the industry,1
can you give me silver status for months,0
really wish you would fly out of those fare be amaze,1
mood light on point raisinghands recline my seat kickin up my feet zz,-1
my flight schedule for pm departure still say on time but no plane at gate any update on how long of a delay,-1
my group get their cancel flightlation fee waive but i can not because my ticket be book for your reps be no help either poutingface,-1
be there any sign up bonuses to enroll in elevate,0
just get on the pm in newark home to la your folks at ewr be incredible,1
morning if i have a question regard elevate point amp flight can i dm you,0
still wait to see disappointedface,0
be wonder if you guy recieved my dm and we be able to potentially respond as soon as possible,0
fly lax to sfo and after look at the awesome movie lineup i actually wish i be on a long haul,1
book out of town with fare from way restr,0
thank,1
thank for take care of that mr happy customer,1
still no refund or word via dm please resolve this issue as your cancel flightled flight be useless to my assistants trip,-1
delay due to lack of crew and now delay again because there be a long line for deice still need to improve service,-1
thank we fill it out hows our luck with this be it common,1
your eriord express connections be hugely popular now if only we could have an eriewr hop smiley,-1
even on international flight glasgow to the us then what about orlando to newark all mins,0
you think you board flight au too early i think so,-1
i understand but it be tough when there be no way to get to the airport wo serious risk of an accident its a steep price,0
gate agent hook me up with alternate flight if you have a way to prevent the constant issue that would rock,-1
fly glamco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta,0
thank,1
thank it be on the same ticket,1
why not be it a law or a policy,0
ord to dca,0
be the worst nonrefundable first class ticket oh because when you select globalfc their system auto select economy wupgrade,-1
so i can buy tix days before flight but can not transfer the tix flaw security logic flaw customer service,-1
flight to savannah ga,0
i do start a claim but weeks be unrealistic be i really suppose to go that long with out a car seat for my childridiculous,-1
follow me please this airline be beautifull heartsuit,1
no i dont but i be sure unite have my info on its system,0
if the car seat be lose should just reimburse me for a new one this be not a pair of shoe it be a necessity for my child,-1
just submit my response on the link you send,0
yes david allan send an email with this number kmmvlkm and case,0
that totally suck my cousin work at phl say,-1
just want to let you know how wonderful rosetta the gate agent be work flight dan to ase let her know she wasappreciated,1
yes a paper voucher that i get on january th,0
begin of feb i call unite they say they would send another voucher by mail never get anything,-1
the internet be a great thing i be email executives in your company maybe they will respond to me in a timely manner,-1
do i need to use a chase unite club pass for my yr old son or can he come in with me on my pass,0
and what be i suppose to do with that number,0
thats weak see ya wavinghand hey,-1
i fly back w other company since unite didnt have an earlier flight,-1
i lose a voucher that i be give in miami aeroport on jan i do not use it,0
i be try to book award for september and need flight on but they will not show even w many award seat availab,-1
i sure do i have to drive a total of hours to get my own bag i would like to explain that debacle but no one want to talk to me,-1
gee that be like almost care about people more than think i be more int in have a trust adult w daughter,0
see we be tell repeatedly that the pilot be late flight and keep get late flightr after we board there be a defibrillator issue,-1
why no prefer security line anymore my tsa precheck do not pull on my partner flight,-1
airport need to indicate different gate for terminals aampc,-1
yes please i be newly marry and try to update my last name on a preexist international flight it seem so easy but,-1
how do unite refuse to reissue a lose voucher when their plane do not take off due to mechanics,-1
also during the run i be instruct to do i shatter my computer,-1
yes we have be with the agents for the last minutes one of the agents have be very rude but thankfully ladan have be nice,-1
that be right with an overnight miami,0
have clients with an hr layover at iah during the day will they have to claim amp recheck luggage or will it be take care of,0
i be try to find out if the loaner seat be new or use a use car seat be illegal accord to safety regulations,0
i dmed you the detail,0
iah to charlotte baggage claim rep latrice h non existent ignore customer then inappropriately touch customer,-1
kewl will also let them know the overhead bin over my row be inop i love a good abbreve,0
thank for your helpgot me what i need but its an issue with i guess i sit awhile longer,1
how we look on get those bag to lusaka,-1
i would have love to respond to your website until i saw the really long form in business the new seat be bad,-1
a refund and flight vouchers or another flight on a different airline at your expense for today hour drive be very inconvenient,-1
then why have i not receive my call back its be daysits an infant car seat how be i suppose to go anywhere with my child,-1
thank again for your concern i will contact customer care upon our return from australia,0
